start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33,spun,s0,s1,s2,s3,p0,p1,p2,p3,unknown_percentage
425,855,5130,689,0.805847953,4541,0.885185185,742,0.867836257,4860,0.947368421,4010,103,1,6,144,512,9,0,0,3,13,0,4,0,0,6,319,0.973300971,0.769924812,0.8125,0.6,0.964405964,0.828478964,0.565217391,0.5,0.062183236
430,855,5130,703,0.822222222,4561,0.889083821,756,0.884210526,4879,0.951072125,4046,90,0,4,144,497,2,2,0,4,12,0,5,0,0,6,318,0.977294686,0.770542636,0.75,0.545454545,0.964481526,0.840947547,0.857142857,0.5,0.061988304
435,855,5130,707,0.826900585,4602,0.897076023,760,0.888888889,4920,0.959064327,4071,83,0,0,110,512,8,0,0,3,13,0,6,0,0,6,318,0.980019259,0.812698413,0.8125,0.5,0.972295199,0.856187291,0.619047619,1,0.061988304
440,855,5130,704,0.823391813,4589,0.89454191,756,0.884210526,4907,0.956530214,4070,90,0,1,122,498,4,0,0,3,12,0,0,2,1,9,318,0.978130257,0.798076923,0.8,0.75,0.970896947,0.839797639,0.705882353,0.9,0.061988304
445,855,5130,710,0.830409357,4596,0.895906433,763,0.892397661,4913,0.957699805,4087,85,0,2,124,488,0,0,0,3,12,0,0,2,1,9,317,0.979156684,0.797385621,0.8,0.75,0.970553313,0.844290657,0.923076923,0.818181818,0.061793372
450,855,5130,702,0.821052632,4563,0.889473684,754,0.881871345,4878,0.950877193,4058,127,0,3,112,483,4,1,0,1,14,0,0,0,4,8,315,0.96895893,0.805,0.933333333,0.666666667,0.973141487,0.790507365,0.636363636,0.666666667,0.061403509
455,855,5130,710,0.830409357,4601,0.896881092,761,0.89005848,4914,0.957894737,4085,103,0,4,99,496,0,2,0,4,12,0,0,0,4,8,313,0.974475191,0.830820771,0.75,0.666666667,0.976338432,0.822553897,0.75,0.571428571,0.061013645
500,855,5130,703,0.822222222,4568,0.890448343,752,0.879532164,4877,0.950682261,4063,128,0,7,107,484,0,3,0,5,12,0,0,2,1,9,309,0.967841829,0.814814815,0.705882353,0.75,0.974340528,0.7819063,0.923076923,0.473684211,0.060233918
505,855,5130,698,0.816374269,4572,0.89122807,747,0.873684211,4877,0.950682261,4067,132,0,10,98,485,1,4,0,3,13,0,0,0,5,7,305,0.96626277,0.824829932,0.8125,0.583333333,0.976470588,0.782258065,0.684210526,0.333333333,0.059454191
510,855,5130,705,0.824561404,4568,0.890448343,754,0.881871345,4869,0.949122807,4055,147,1,11,81,494,5,6,0,6,12,0,0,0,4,7,301,0.962268628,0.843003413,0.666666667,0.636363636,0.980415861,0.763523957,0.545454545,0.291666667,0.058674464
515,855,5130,704,0.823391813,4590,0.894736842,753,0.880701754,4888,0.952826511,4081,124,2,8,91,484,6,6,0,2,18,0,0,0,3,7,298,0.968208778,0.824531516,0.9,0.7,0.978187919,0.793442623,0.620689655,0.333333333,0.058089669
520,855,5130,696,0.814035088,4583,0.89337232,745,0.871345029,4879,0.951072125,4078,125,3,10,102,480,4,0,0,5,18,0,0,0,2,7,296,0.967267552,0.819112628,0.782608696,0.777777778,0.975598086,0.786885246,0.666666667,0.411764706,0.057699805
525,855,5130,698,0.816374269,4562,0.889278752,747,0.873684211,4856,0.946588694,4066,129,4,12,121,469,3,0,0,5,19,0,0,0,0,8,294,0.965566374,0.790893761,0.791666667,1,0.971101027,0.777777778,0.730769231,0.4,0.057309942
530,855,5130,697,0.815204678,4586,0.893957115,746,0.87251462,4880,0.951267057,4064,111,8,1,108,496,13,0,0,9,19,0,0,0,0,7,294,0.971319312,0.803889789,0.678571429,1,0.974113135,0.805194805,0.475,0.875,0.057309942
535,855,5130,685,0.801169591,4581,0.892982456,734,0.858479532,4875,0.950292398,4045,94,4,2,135,505,9,0,0,11,25,0,0,0,0,6,294,0.975874548,0.778120185,0.694444444,1,0.967703349,0.827868852,0.657894737,0.75,0.057309942
540,855,5130,688,0.804678363,4550,0.886939571,737,0.861988304,4844,0.944249513,3997,113,1,0,148,518,7,0,3,14,29,0,0,0,0,6,294,0.972269521,0.769687964,0.630434783,1,0.963596914,0.803100775,0.783783784,1,0.057309942
545,855,5130,670,0.783625731,4519,0.880896686,719,0.840935673,4813,0.938206628,3966,97,0,0,161,514,25,0,13,20,33,0,1,0,0,6,294,0.976126015,0.734285714,0.5,0.857142857,0.957739676,0.814580032,0.568965517,1,0.057309942
550,855,5130,672,0.785964912,4511,0.879337232,721,0.843274854,4805,0.936647173,3931,83,0,0,178,532,15,0,19,28,42,0,2,0,0,6,294,0.979322372,0.733793103,0.471910112,0.75,0.951815981,0.827371695,0.736842105,1,0.057309942
555,855,5130,666,0.778947368,4488,0.874853801,715,0.83625731,4782,0.932163743,3898,67,0,0,202,538,3,0,19,53,46,0,4,0,0,6,294,0.983102144,0.724091521,0.389830508,0.6,0.945428086,0.817629179,0.93877551,1,0.057309942
600,855,5130,671,0.784795322,4479,0.873099415,721,0.843274854,4774,0.930604288,3829,99,2,0,163,589,4,0,37,46,55,0,4,0,1,6,295,0.974300254,0.779100529,0.398550725,0.545454545,0.949417307,0.802452316,0.887096774,1,0.057504873
605,855,5130,663,0.775438596,4447,0.866861598,712,0.832748538,4742,0.924366472,3803,103,2,0,187,564,11,0,38,40,74,0,4,1,2,6,295,0.973132037,0.74015748,0.486842105,0.461538462,0.943204365,0.796610169,0.831460674,1,0.057504873
610,855,5130,667,0.780116959,4458,0.869005848,717,0.838596491,4753,0.926510721,3793,98,0,0,175,576,13,0,17,65,81,1,5,2,1,8,295,0.974813673,0.753926702,0.493902439,0.5,0.950626566,0.777327935,0.852631579,0.888888889,0.057504873
615,855,5130,662,0.774269006,4511,0.879337232,710,0.830409357,4804,0.936452242,3749,121,6,2,120,620,28,3,3,32,134,2,4,3,2,8,293,0.966735431,0.804150454,0.783625731,0.470588235,0.967234262,0.798969072,0.788235294,0.533333333,0.05711501
620,855,5130,644,0.753216374,4442,0.86588694,692,0.809356725,4733,0.922612086,3713,147,4,4,122,595,64,0,6,38,126,1,5,0,6,8,291,0.959927611,0.76184379,0.736842105,0.421052632,0.965418617,0.762820513,0.63,0.615384615,0.056725146
625,855,5130,644,0.753216374,4432,0.863937622,692,0.809356725,4721,0.920272904,3695,135,7,10,149,589,62,2,1,30,140,2,4,1,6,8,289,0.960488692,0.734413965,0.809248555,0.421052632,0.959989608,0.78013245,0.651162791,0.363636364,0.056335283
630,855,5130,638,0.74619883,4405,0.858674464,685,0.801169591,4691,0.914424951,3652,127,14,12,183,600,49,2,17,19,147,0,6,0,10,6,286,0.95978975,0.71942446,0.803278689,0.272727273,0.946604458,0.804289544,0.668181818,0.3,0.055750487
